"","geneID","logFC","logCPM","F","PValue","FDR"
"63","PBANKA_0917200",-1.23485589343865,6.39970165304674,61.0284424479269,5.51845269431003e-06,1.70802672253175e-05
"64","PBANKA_0921600",1.85170257325881,7.73278454510685,106.102463895979,3.16857979756722e-07,1.44440513168364e-06
"65","PBANKA_0928800",1.86586076951205,6.35318178076989,70.4773592847785,2.87101359900066e-06,9.62714119366595e-06
"66","PBANKA_0937200",0.791985829152379,7.77133698438675,17.8657827953637,0.00123412033885571,0.00217300078176588
"67","PBANKA_0939800",0.410119071274957,5.61838179398649,5.16687903448773,0.042797807100234,0.0571176346243274
"68","PBANKA_1002700",0.633006995549367,3.37811215050666,5.47462503267488,0.0379691722482421,0.0510452639140542
"69","PBANKA_1003100",-0.606388180722165,7.96418094938739,6.66495851245075,0.02457695140997,0.0341549878262746
"70","PBANKA_1005900",2.14579094303734,5.27689654952771,68.0397380069533,3.42714435353105e-06,1.13306523880779e-05
"71","PBANKA_1007400",1.524866249941,6.74483107048747,64.1065516443314,4.61517191710001e-06,1.46512453799593e-05
"72","PBANKA_1009000",-1.26402093509575,5.70271279159111,61.1840636488186,5.44879809763303e-06,1.690699836317e-05
"73","PBANKA_1023200",-0.997352763407761,6.73751035613459,19.2546101379866,0.000955661092585454,0.00172130362852427
"74","PBANKA_1023300",0.654537429046942,5.88838941478848,16.8363503455216,0.00153345618752898,0.00265562825753443
"75","PBANKA_1024100",0.0153131514868583,4.67621465623748,0.00516020455298578,0.943956538276061,0.950683982552107
"76","PBANKA_1024300",-2.07048851391345,5.70341866975363,66.8347840490075,3.74826020199399e-06,1.22207613441412e-05
"77","PBANKA_1025200",-0.0870408092977456,5.78572441239216,0.216316258734124,0.650465912104182,0.685971087690253
"78","PBANKA_1027400",-1.76609166317898,2.98378670208084,29.9078146900037,0.000161311616282532,0.000342570740289139
"79","PBANKA_1032700",-1.05260407529646,7.15399395003449,22.3066314926097,0.000541263710443181,0.00102179019536335
"80","PBANKA_1036200",-2.39822532814101,6.45532859956092,143.554249281364,6.91281235288142e-08,4.00360303247676e-07
"81","PBANKA_1036300",2.30388901046127,6.8909238311336,158.492376495705,3.61231035722496e-08,2.29646362812785e-07
"82","PBANKA_1039300",2.52720905905975,7.47363737041399,138.111778130047,8.51502582482562e-08,4.77358452526237e-07
"83","PBANKA_1103000",0.291005723024439,7.19370205256219,3.30161634645551,0.0948303485712107,0.11941664924488
"84","PBANKA_1103800",0.227508658869405,6.04434679885208,2.14876620642657,0.168972111182734,0.20109144896771
"85","PBANKA_1104000",2.51483278834045,5.09454282013011,111.426915983562,2.68097734002651e-07,1.25450462854977e-06
"86","PBANKA_1108300",2.51728788585235,9.40336514523451,128.907425616319,1.11420812771892e-07,5.93204886942711e-07
"87","PBANKA_1109700",1.50242753766944,8.33942428640364,49.0314138706356,1.70649578297122e-05,4.63499623425352e-05
"88","PBANKA_1114600",-1.64856920748719,7.98827845103269,66.5155580560246,3.63284085680917e-06,1.1901600962243e-05
"89","PBANKA_1119100",1.16268538597635,5.8381678224661,41.8559641227694,3.46898352235118e-05,8.73159923742947e-05
"90","PBANKA_1122000",0.0209827896441851,7.56029994926602,0.0150273598431217,0.904510045327924,0.917307091283968
"91","PBANKA_1122300",-2.35501335658483,5.96616910192204,178.553773276822,1.87317279577018e-08,1.36849522125248e-07
"92","PBANKA_1122500",1.12027834141996,6.61034506268447,38.2436502883066,5.26175126401417e-05,0.000126027223979729
"93","PBANKA_1122600",-0.307535523942677,4.86616400201157,1.59534784183457,0.231348048525585,0.269240821748999
"94","PBANKA_1128200",1.24855773116327,6.55278442143334,58.5224491856787,6.79738153761697e-06,2.04127802580774e-05
"95","PBANKA_1129700",4.52202764356172,7.82069430278213,275.922665440018,1.89777056563898e-09,2.83576230140495e-08
"96","PBANKA_1130000",0.321623412064196,5.52718945930349,4.17024575753844,0.0642864067835778,0.0834542173101249
"97","PBANKA_1134900",-6.9823005734872,12.7624815512057,307.018769881308,1.04393472507363e-09,2.01423021166916e-08
