"","logFC","logCPM","F","PValue","FDR"
"PY17X_0400700",1.11936616754089,0.184146436735336,8.36603344944735,0.0156814913558494,0.0179320422610959
"PY17X_0618900",-0.530564831599681,3.58522470705088,8.30750529871396,0.0159591788862777,0.0182453726782912
"PY17X_1226500",0.531580862039564,3.66833120156493,8.27048671683413,0.0161378842295703,0.018445423026234
"PY17X_0925900",0.540755836490559,2.74503911399846,8.26831524252659,0.0161484418176593,0.0184532344128014
"PY17X_0513000",0.314837569399269,7.3786766708999,8.25298865947797,0.0162231967199601,0.0185343851876722
"PY17X_1455700",0.482184014883347,5.39332988247704,8.23419587805274,0.0163154296504962,0.0186354619377412
"PY17X_0623700",0.724540910851533,4.79384051803996,8.1921463589364,0.0165241105327527,0.0188694681567563
"PY17X_0847701",-2.19951073821768,-0.182557901487073,8.18955544169572,0.0165370738060972,0.0188799211663252
"PY17X_0836300",-0.601409509067493,3.09785686809342,8.17650491856394,0.0166025574307384,0.0189503165883785
"PY17X_0808100",0.431783881849429,4.05926087427842,8.13837995415934,0.0167956607861193,0.0191663124236719
"PY17X_1409200",-0.852213509234753,3.5335728718864,8.12242241046506,0.0168772915075358,0.0192550314713047
"PY17X_0828700",-0.416794442584497,6.00266748648786,8.12149521991137,0.0168820492752483,0.0192560267452545
"PY17X_0702700",0.375137398066755,7.54224038095616,8.09564178046315,0.0170153685937571,0.0194036278763599
"PY17X_1421700",0.472432021016422,3.45584956666491,8.08808366749301,0.0170545840374888,0.0194438735886346
"PY17X_1037300",0.357712011124186,5.91548275441519,8.08273810834648,0.0170823855907458,0.0194710908435456
"PY17X_1352100",-0.988364649685895,0.0210734975960788,8.05754219600844,0.0172141665729895,0.019616787660551
"PY17X_0307100",-1.04950269716944,1.36091521645054,7.97896545560532,0.0176331133258235,0.0200895884236279
"PY17X_0316800",0.635696830642534,5.13793123823543,7.97620273615079,0.0176480663754756,0.0201020034375677
"PY17X_0518400",0.576901765889088,3.89378488086028,7.96674478746325,0.0176993732122868,0.020155811957742
"PY17X_1408000",0.496322812412889,3.64589325257542,7.9472503590543,0.0178056956646701,0.0202722324176671
"PY17X_0712100",-0.487830733601014,10.2240267123814,7.88221568841401,0.0181660270107051,0.0206777284945003
"PY17X_1226900",0.711846419489685,2.59255978502961,7.87411629872005,0.0182115177521633,0.0207247490194538
"PY17X_1000097",-1.19484396815655,0.0428682578970453,7.84797091763263,0.0183593085457833,0.0208881389239903
"PY17X_0115951",1.29080116929718,-0.0345614075764897,7.8394019464816,0.0184080614508256,0.0209388002181069
"PY17X_0715400",0.366815734555841,7.08189511226366,7.83126053653673,0.0184545269550338,0.0209868369869544
"PY17X_1223400",-0.473227339934725,3.89416679124692,7.81704140227884,0.0185360207642238,0.0210746774277342
"PY17X_1367400",-1.08172286761456,3.27667839198493,7.81499744316259,0.0185477710293042,0.021083200280099
"PY17X_1306300",-0.675716737783012,2.41937524063467,7.80364107933489,0.0186132206458571,0.0211527451320495
"PY17X_0210300",1.33244749615776,-0.00701214915119597,7.74296452246683,0.0189676893234325,0.0215506346370774
"PY17X_1448300",0.298499954141504,6.67022564817468,7.71753435228449,0.0191186774717308,0.0217172050309186
"PY17X_0615800",0.382952365471055,5.32283915786892,7.69051077425911,0.0192807237197758,0.021896257276629
